input,subject,subject_type,data/object,relation,object,object_type
知识抽取的数据源可以是结构化数据（如链接数据、数据库）、半结构化数据（如网页中的表格、列表）或者非结构化数据（即纯文本数据）。,非结构化数据,知识存储,object,由组成,纯文本数据,知识存储
知识抽取的数据源可以是结构化数据（如链接数据、数据库）、半结构化数据（如网页中的表格、列表）或者非结构化数据（即纯文本数据）。,半结构化数据,知识存储,object,由组成,网页中的表格,知识存储
知识抽取的数据源可以是结构化数据（如链接数据、数据库）、半结构化数据（如网页中的表格、列表）或者非结构化数据（即纯文本数据）。,半结构化数据,知识存储,object,由组成,列表,知识存储
面向不同类型的数据源，知识抽取涉及的关键技术和需要解决的技术难点有所不同。,知识抽取,知识抽取,data,内容,面向不同类型的数据源，知识抽取涉及的关键技术和需要解决的技术难点有所不同,描述
知识抽取的概念最早在20世纪70年代后期出现于NLP研究领域，是指自动化地从文本中发现和抽取相关信息，并将多个文本碎片中的信息进行合并，将非结构化数据转换为结构化数据，包括某一特定领域的模式、实体关系或RDF三元组。,知识抽取,知识抽取,data,被定义为,自动化地从文本中发现和抽取相关信息，并将多个文本碎片中的信息进行合并，将非结构化数据转换为结构化数据，包括某一特定领域的模式、实体关系或RDF三元组,定义
知识抽取的概念最早在20世纪70年代后期出现于NLP研究领域，是指自动化地从文本中发现和抽取相关信息，并将多个文本碎片中的信息进行合并，将非结构化数据转换为结构化数据，包括某一特定领域的模式、实体关系或RDF三元组。,知识抽取,知识抽取,object,包含,非结构化数据,知识表示
知识抽取的概念最早在20世纪70年代后期出现于NLP研究领域，是指自动化地从文本中发现和抽取相关信息，并将多个文本碎片中的信息进行合并，将非结构化数据转换为结构化数据，包括某一特定领域的模式、实体关系或RDF三元组。,知识抽取,知识抽取,object,包含,结构化数据,知识表示
知识抽取的概念最早在20世纪70年代后期出现于NLP研究领域，是指自动化地从文本中发现和抽取相关信息，并将多个文本碎片中的信息进行合并，将非结构化数据转换为结构化数据，包括某一特定领域的模式、实体关系或RDF三元组。,知识抽取,知识抽取,object,包含,实体关系,知识表示
知识抽取的概念最早在20世纪70年代后期出现于NLP研究领域，是指自动化地从文本中发现和抽取相关信息，并将多个文本碎片中的信息进行合并，将非结构化数据转换为结构化数据，包括某一特定领域的模式、实体关系或RDF三元组。,知识抽取,知识抽取,object,包含,RDF三元组,知识表示
给定一段关于苹果公司的文字描述，知识抽取方法可以自动获取关于苹果公司的结构化信息，包括其总部地址、创始人以及创立时间。,知识抽取方法,知识抽取,data,作用,自动获取关于苹果公司的结构化信息，包括其总部地址、创始人以及创立时间,功能描述
给定一段关于苹果公司的文字描述，知识抽取方法可以自动获取关于苹果公司的结构化信息，包括其总部地址、创始人以及创立时间。,结构化信息,知识表示,data,内容,包括其总部地址、创始人以及创立时间,描述
图4-1知识抽取的典型例子具体地，知识抽取包括以下子任务：1.命名实体识别从文本中检测出命名实体，并将其分类到预定义的类别中，例如人物、组织、地点、时间等。,命名实体识别,知识抽取,data,被定义为,从文本中检测出命名实体，并将其分类到预定义的类别中，例如人物、组织、地点、时间等,描述
图4-1知识抽取的典型例子具体地，知识抽取包括以下子任务：1.命名实体识别从文本中检测出命名实体，并将其分类到预定义的类别中，例如人物、组织、地点、时间等。,命名实体识别,知识抽取,object,实例,知识抽取,知识抽取
图4-1知识抽取的典型例子具体地，知识抽取包括以下子任务：1.命名实体识别从文本中检测出命名实体，并将其分类到预定义的类别中，例如人物、组织、地点、时间等。,知识抽取,知识抽取,data,内容,命名实体识别从文本中检测出命名实体，并将其分类到预定义的类别中，例如人物、组织、地点、时间等,描述
图4-1知识抽取的典型例子具体地，知识抽取包括以下子任务：1.命名实体识别从文本中检测出命名实体，并将其分类到预定义的类别中，例如人物、组织、地点、时间等。,知识抽取,知识抽取,object,包含,命名实体识别,知识抽取
图4-1知识抽取的典型例子具体地，知识抽取包括以下子任务：1.命名实体识别从文本中检测出命名实体，并将其分类到预定义的类别中，例如人物、组织、地点、时间等。,知识抽取,知识抽取,object,前提,命名实体识别,知识抽取
2.关系抽取从文本中识别抽取实体及实体之间的关系。,关系抽取,知识抽取,data,内容,从文本中识别抽取实体及实体之间的关系,描述
3.事件抽取识别文本中关于事件的信息，并以结构化的形式呈现。,事件抽取,知识抽取,data,内容,识别文本中关于事件的信息，并以结构化的形式呈现,描述
例如，从恐怖袭击事件的新闻报道中识别袭击发生的地点、时间、袭击目标和受害人等信息。,恐怖袭击事件,知识抽取,data,内容,袭击发生的地点、时间、袭击目标和受害人等信息,描述信息
例如，从恐怖袭击事件的新闻报道中识别袭击发生的地点、时间、袭击目标和受害人等信息。,新闻报道,知识抽取,data,内容,恐怖袭击事件的袭击发生的地点、时间、袭击目标和受害人等信息,描述信息
"1.消息理解会议（Message_Understanding_Conference,MUC）MUC由美国国防部高级研究计划局（DARPA）启动并资助，目的是鼓励和开发更好的信息抽取方法。",消息理解会议,知识抽取,data,英文名,Message_Understanding_Conference,字符串
"1.消息理解会议（Message_Understanding_Conference,MUC）MUC由美国国防部高级研究计划局（DARPA）启动并资助，目的是鼓励和开发更好的信息抽取方法。",消息理解会议,知识抽取,data,目标,鼓励和开发更好的信息抽取方法,知识抽取
"1.消息理解会议（Message_Understanding_Conference,MUC）MUC由美国国防部高级研究计划局（DARPA）启动并资助，目的是鼓励和开发更好的信息抽取方法。",消息理解会议,知识抽取,data,方法,信息抽取方法,知识抽取
MUC定义的一系列规范以及确立的评价体系也已经成为知识抽取领域的标准。,知识抽取,知识抽取,data,内容,MUC定义的一系列规范以及确立的评价体系,规范与评价体系
MUC定义的一系列规范以及确立的评价体系也已经成为知识抽取领域的标准。,评价体系,知识抽取,data,内容,MUC定义的一系列规范以及确立的评价体系,规范与评价体系
"2.自动内容抽取（Automatic_Content_Extraction,ACE）ACE是一项由美国国家标准技术研究所（NIST）组织的评测会议，该会议从1999年至2008年共举办了八次评测。",自动内容抽取,知识抽取,data,内容,由美国国家标准技术研究所（NIST）组织的评测会议，该会议从1999年至2008年共举办了八次评测,描述
"2.自动内容抽取（Automatic_Content_Extraction,ACE）ACE是一项由美国国家标准技术研究所（NIST）组织的评测会议，该会议从1999年至2008年共举办了八次评测。",自动内容抽取,知识抽取,data,英文名,Automatic_Content_Extraction,字符串
"2.自动内容抽取（Automatic_Content_Extraction,ACE）ACE是一项由美国国家标准技术研究所（NIST）组织的评测会议，该会议从1999年至2008年共举办了八次评测。",自动内容抽取,知识抽取,object,等价,ACE,知识抽取
"2.自动内容抽取（Automatic_Content_Extraction,ACE）ACE是一项由美国国家标准技术研究所（NIST）组织的评测会议，该会议从1999年至2008年共举办了八次评测。",ACE,知识抽取,data,内容,由美国国家标准技术研究所（NIST）组织的评测会议，该会议从1999年至2008年共举办了八次评测,描述
"2.自动内容抽取（Automatic_Content_Extraction,ACE）ACE是一项由美国国家标准技术研究所（NIST）组织的评测会议，该会议从1999年至2008年共举办了八次评测。",ACE,知识抽取,data,英文名,Automatic_Content_Extraction,字符串
该任务要求识别和表征实体间的关系，关系被分为五大类，包括角色（role）关系、部分整体（part-whole）关系、位于（at）关系、邻近（near）关系和社会（social）关系，每个大类关系又被进一步细分，总共有24种类型。,角色关系,知识表示,data,内容,五大类实体间关系之一,描述
该任务要求识别和表征实体间的关系，关系被分为五大类，包括角色（role）关系、部分整体（part-whole）关系、位于（at）关系、邻近（near）关系和社会（social）关系，每个大类关系又被进一步细分，总共有24种类型。,部分整体关系,知识表示,data,内容,五大类实体间关系之一,描述
该任务要求识别和表征实体间的关系，关系被分为五大类，包括角色（role）关系、部分整体（part-whole）关系、位于（at）关系、邻近（near）关系和社会（social）关系，每个大类关系又被进一步细分，总共有24种类型。,位于关系,知识表示,data,内容,五大类实体间关系之一,描述
该任务要求识别和表征实体间的关系，关系被分为五大类，包括角色（role）关系、部分整体（part-whole）关系、位于（at）关系、邻近（near）关系和社会（social）关系，每个大类关系又被进一步细分，总共有24种类型。,邻近关系,知识表示,data,内容,五大类实体间关系之一,描述
该任务要求识别和表征实体间的关系，关系被分为五大类，包括角色（role）关系、部分整体（part-whole）关系、位于（at）关系、邻近（near）关系和社会（social）关系，每个大类关系又被进一步细分，总共有24种类型。,社会关系,知识表示,data,内容,五大类实体间关系之一,描述
该任务要求识别和表征实体间的关系，关系被分为五大类，包括角色（role）关系、部分整体（part-whole）关系、位于（at）关系、邻近（near）关系和社会（social）关系，每个大类关系又被进一步细分，总共有24种类型。,关系,知识表示,object,包含,角色关系,知识表示
该任务要求识别和表征实体间的关系，关系被分为五大类，包括角色（role）关系、部分整体（part-whole）关系、位于（at）关系、邻近（near）关系和社会（social）关系，每个大类关系又被进一步细分，总共有24种类型。,关系,知识表示,object,包含,部分整体关系,知识表示
该任务要求识别和表征实体间的关系，关系被分为五大类，包括角色（role）关系、部分整体（part-whole）关系、位于（at）关系、邻近（near）关系和社会（social）关系，每个大类关系又被进一步细分，总共有24种类型。,关系,知识表示,object,包含,位于关系,知识表示
该任务要求识别和表征实体间的关系，关系被分为五大类，包括角色（role）关系、部分整体（part-whole）关系、位于（at）关系、邻近（near）关系和社会（social）关系，每个大类关系又被进一步细分，总共有24种类型。,关系,知识表示,object,包含,邻近关系,知识表示
该任务要求识别和表征实体间的关系，关系被分为五大类，包括角色（role）关系、部分整体（part-whole）关系、位于（at）关系、邻近（near）关系和社会（social）关系，每个大类关系又被进一步细分，总共有24种类型。,关系,知识表示,object,包含,社会关系,知识表示
"3.知识库填充（Knowledge_Base_Population,KBP）KBP评测由文本分析会议（Text_Analysis_Conference,TAC）主办，其目标是开发和评估从非结构化文本中获取知识填充知识库的技术。",KBP评测,知识抽取,data,内容,从非结构化文本中获取知识填充知识库的技术,技术描述
"3.知识库填充（Knowledge_Base_Population,KBP）KBP评测由文本分析会议（Text_Analysis_Conference,TAC）主办，其目标是开发和评估从非结构化文本中获取知识填充知识库的技术。",KBP评测,知识抽取,data,目标,开发和评估从非结构化文本中获取知识填充知识库的技术,描述
"3.知识库填充（Knowledge_Base_Population,KBP）KBP评测由文本分析会议（Text_Analysis_Conference,TAC）主办，其目标是开发和评估从非结构化文本中获取知识填充知识库的技术。",知识库填充,知识抽取,data,英文名,Knowledge_Base_Population,知识抽取
"3.知识库填充（Knowledge_Base_Population,KBP）KBP评测由文本分析会议（Text_Analysis_Conference,TAC）主办，其目标是开发和评估从非结构化文本中获取知识填充知识库的技术。",知识库填充,知识抽取,data,作用,从非结构化文本中获取知识填充知识库,技术目标
"3.知识库填充（Knowledge_Base_Population,KBP）KBP评测由文本分析会议（Text_Analysis_Conference,TAC）主办，其目标是开发和评估从非结构化文本中获取知识填充知识库的技术。",文本分析会议,知识图谱项目,data,英文名,Text_Analysis_Conference,知识图谱项目
"3.知识库填充（Knowledge_Base_Population,KBP）KBP评测由文本分析会议（Text_Analysis_Conference,TAC）主办，其目标是开发和评估从非结构化文本中获取知识填充知识库的技术。",Knowledge_Base_Population,知识抽取,data,作用,从非结构化文本中获取知识填充知识库,技术目标
"3.知识库填充（Knowledge_Base_Population,KBP）KBP评测由文本分析会议（Text_Analysis_Conference,TAC）主办，其目标是开发和评估从非结构化文本中获取知识填充知识库的技术。",Knowledge_Base_Population,知识抽取,object,实例,知识库填充,知识抽取
"3.知识库填充（Knowledge_Base_Population,KBP）KBP评测由文本分析会议（Text_Analysis_Conference,TAC）主办，其目标是开发和评估从非结构化文本中获取知识填充知识库的技术。",Text_Analysis_Conference,知识图谱项目,object,实例,文本分析会议,知识图谱项目
"3.知识库填充（Knowledge_Base_Population,KBP）KBP评测由文本分析会议（Text_Analysis_Conference,TAC）主办，其目标是开发和评估从非结构化文本中获取知识填充知识库的技术。",TAC,知识图谱项目,object,实例,文本分析会议,知识图谱项目
KBP评测覆盖了知识库填充的独立子任务以及被称为“冷启动”的端到端知识库构建任务。,知识库填充,知识抽取,data,内容,独立子任务,任务类型
KBP评测覆盖了知识库填充的独立子任务以及被称为“冷启动”的端到端知识库构建任务。,端到端知识库构建,知识图谱项目,data,内容,被称为“冷启动”的端到端知识库构建任务,任务描述
"独立子任务主要包括以下四个方面：（1）实体发现与链接（Entity_Discovery_and_Linking,EDL）。",实体发现与链接,知识抽取,data,内容,"实体发现与链接（Entity_Discovery_and_Linking,EDL）",描述
"独立子任务主要包括以下四个方面：（1）实体发现与链接（Entity_Discovery_and_Linking,EDL）。",实体发现与链接,知识抽取,object,等价,EDL,知识抽取
"独立子任务主要包括以下四个方面：（1）实体发现与链接（Entity_Discovery_and_Linking,EDL）。",EDL,知识抽取,data,内容,"实体发现与链接（Entity_Discovery_and_Linking,EDL）",描述
主要的EDL任务是在评估文档集合中提取特定个人（PER）、组织（ORG）、设施（FAC）、地缘政治实体（GPE）和位置（LOC）实体的名称和提及，并将每个提及链接到其对应的KB节点。,EDL任务,知识抽取,data,内容,在评估文档集合中提取特定个人（PER）、组织（ORG）、设施（FAC）、地缘政治实体（GPE）和位置（LOC）实体的名称和提及，并将每个提及链接到其对应的KB节点,描述
"（2）槽填充（Slot_Filling,SF）。",槽填充,知识抽取,data,英文名,Slot_Filling,知识抽取
"（2）槽填充（Slot_Filling,SF）。",Slot_Filling,知识抽取,data,英文名,SF,知识抽取
插槽填充任务是搜索文档集合以填充特定实体的特定属性（“插槽”）值。,插槽填充任务,知识抽取,data,内容,搜索文档集合以填充特定实体的特定属性（“插槽”）值,描述
插槽填充任务是搜索文档集合以填充特定实体的特定属性（“插槽”）值。,插槽填充任务,知识抽取,object,包含,特定实体的特定属性,知识表示
插槽填充任务是搜索文档集合以填充特定实体的特定属性（“插槽”）值。,特定实体的特定属性,知识表示,object,包含,插槽,知识表示
事件跟踪旨在从非结构化文本中提取关于事件的信息，使其作为结构化知识库的输入。,事件跟踪,知识抽取,data,作用,从非结构化文本中提取关于事件的信息，使其作为结构化知识库的输入,描述
该任务具体包括事件块（Event_Nugget）任务（检测和链接事件块）和事件参数（Event_Argument）任务（提取属于同一事件的事件参数和链接属于同一事件的参数）。,事件块,知识抽取,data,内容,检测和链接事件块,描述
该任务具体包括事件块（Event_Nugget）任务（检测和链接事件块）和事件参数（Event_Argument）任务（提取属于同一事件的事件参数和链接属于同一事件的参数）。,事件块,知识抽取,data,英文名,Event_Nugget,知识抽取
该任务具体包括事件块（Event_Nugget）任务（检测和链接事件块）和事件参数（Event_Argument）任务（提取属于同一事件的事件参数和链接属于同一事件的参数）。,Event_Nugget,知识抽取,data,内容,检测和链接事件块,描述
该任务具体包括事件块（Event_Nugget）任务（检测和链接事件块）和事件参数（Event_Argument）任务（提取属于同一事件的事件参数和链接属于同一事件的参数）。,事件参数,知识抽取,data,内容,提取属于同一事件的事件参数和链接属于同一事件的参数,描述
该任务具体包括事件块（Event_Nugget）任务（检测和链接事件块）和事件参数（Event_Argument）任务（提取属于同一事件的事件参数和链接属于同一事件的参数）。,事件参数,知识抽取,data,英文名,Event_Argument,知识抽取
该任务具体包括事件块（Event_Nugget）任务（检测和链接事件块）和事件参数（Event_Argument）任务（提取属于同一事件的事件参数和链接属于同一事件的参数）。,Event_Argument,知识抽取,data,内容,提取属于同一事件的事件参数和链接属于同一事件的参数,描述
该任务具体包括事件块（Event_Nugget）任务（检测和链接事件块）和事件参数（Event_Argument）任务（提取属于同一事件的事件参数和链接属于同一事件的参数）。,Event_Argument,知识抽取,object,实例,事件参数,知识抽取
该任务具体包括事件块（Event_Nugget）任务（检测和链接事件块）和事件参数（Event_Argument）任务（提取属于同一事件的事件参数和链接属于同一事件的参数）。,该任务,任务,object,包含,事件块,知识抽取
该任务具体包括事件块（Event_Nugget）任务（检测和链接事件块）和事件参数（Event_Argument）任务（提取属于同一事件的事件参数和链接属于同一事件的参数）。,该任务,任务,object,包含,事件参数,知识抽取
端到端冷启动知识库构建任务基于给定的知识库模式（KB_schema）从文本中获取以下信息：实体，在实体发现与链接任务中定义的实体和实体提及；槽关系，在槽填充中涉及的实体属性（“槽”）；事件，在事件跟踪任务中的事件和事件块；事件参数，在事件跟踪任务中的事件参数；情绪，信念和情感任务中源实体向目标实体的情绪。,端到端冷启动知识库构建任务,知识抽取,data,内容,基于给定的知识库模式（KB_schema）从文本中获取以下信息：实体，在实体发现与链接任务中定义的实体和实体提及；槽关系，在槽填充中涉及的实体属性（“槽”）；事件，在事件跟踪任务中的事件和事件块；事件参数，在事件跟踪任务中的事件参数；情绪，信念和情感任务中源实体向目标实体的情绪。,描述
端到端冷启动知识库构建任务基于给定的知识库模式（KB_schema）从文本中获取以下信息：实体，在实体发现与链接任务中定义的实体和实体提及；槽关系，在槽填充中涉及的实体属性（“槽”）；事件，在事件跟踪任务中的事件和事件块；事件参数，在事件跟踪任务中的事件参数；情绪，信念和情感任务中源实体向目标实体的情绪。,端到端冷启动知识库构建任务,知识抽取,object,由组成,实体,知识抽取
端到端冷启动知识库构建任务基于给定的知识库模式（KB_schema）从文本中获取以下信息：实体，在实体发现与链接任务中定义的实体和实体提及；槽关系，在槽填充中涉及的实体属性（“槽”）；事件，在事件跟踪任务中的事件和事件块；事件参数，在事件跟踪任务中的事件参数；情绪，信念和情感任务中源实体向目标实体的情绪。,端到端冷启动知识库构建任务,知识抽取,object,由组成,槽关系,知识抽取
端到端冷启动知识库构建任务基于给定的知识库模式（KB_schema）从文本中获取以下信息：实体，在实体发现与链接任务中定义的实体和实体提及；槽关系，在槽填充中涉及的实体属性（“槽”）；事件，在事件跟踪任务中的事件和事件块；事件参数，在事件跟踪任务中的事件参数；情绪，信念和情感任务中源实体向目标实体的情绪。,端到端冷启动知识库构建任务,知识抽取,object,由组成,事件,知识抽取
端到端冷启动知识库构建任务基于给定的知识库模式（KB_schema）从文本中获取以下信息：实体，在实体发现与链接任务中定义的实体和实体提及；槽关系，在槽填充中涉及的实体属性（“槽”）；事件，在事件跟踪任务中的事件和事件块；事件参数，在事件跟踪任务中的事件参数；情绪，信念和情感任务中源实体向目标实体的情绪。,端到端冷启动知识库构建任务,知识抽取,object,由组成,事件参数,知识抽取
端到端冷启动知识库构建任务基于给定的知识库模式（KB_schema）从文本中获取以下信息：实体，在实体发现与链接任务中定义的实体和实体提及；槽关系，在槽填充中涉及的实体属性（“槽”）；事件，在事件跟踪任务中的事件和事件块；事件参数，在事件跟踪任务中的事件参数；情绪，信念和情感任务中源实体向目标实体的情绪。,端到端冷启动知识库构建任务,知识抽取,object,由组成,情绪,知识抽取
端到端冷启动知识库构建任务基于给定的知识库模式（KB_schema）从文本中获取以下信息：实体，在实体发现与链接任务中定义的实体和实体提及；槽关系，在槽填充中涉及的实体属性（“槽”）；事件，在事件跟踪任务中的事件和事件块；事件参数，在事件跟踪任务中的事件参数；情绪，信念和情感任务中源实体向目标实体的情绪。,实体发现与链接任务,知识抽取,data,内容,定义的实体和实体提及,描述
端到端冷启动知识库构建任务基于给定的知识库模式（KB_schema）从文本中获取以下信息：实体，在实体发现与链接任务中定义的实体和实体提及；槽关系，在槽填充中涉及的实体属性（“槽”）；事件，在事件跟踪任务中的事件和事件块；事件参数，在事件跟踪任务中的事件参数；情绪，信念和情感任务中源实体向目标实体的情绪。,实体发现与链接任务,知识抽取,object,包含,实体,知识抽取
端到端冷启动知识库构建任务基于给定的知识库模式（KB_schema）从文本中获取以下信息：实体，在实体发现与链接任务中定义的实体和实体提及；槽关系，在槽填充中涉及的实体属性（“槽”）；事件，在事件跟踪任务中的事件和事件块；事件参数，在事件跟踪任务中的事件参数；情绪，信念和情感任务中源实体向目标实体的情绪。,实体发现与链接任务,知识抽取,object,包含,实体提及,知识抽取
端到端冷启动知识库构建任务基于给定的知识库模式（KB_schema）从文本中获取以下信息：实体，在实体发现与链接任务中定义的实体和实体提及；槽关系，在槽填充中涉及的实体属性（“槽”）；事件，在事件跟踪任务中的事件和事件块；事件参数，在事件跟踪任务中的事件参数；情绪，信念和情感任务中源实体向目标实体的情绪。,槽填充,知识抽取,data,内容,涉及的实体属性（“槽”）,描述
端到端冷启动知识库构建任务基于给定的知识库模式（KB_schema）从文本中获取以下信息：实体，在实体发现与链接任务中定义的实体和实体提及；槽关系，在槽填充中涉及的实体属性（“槽”）；事件，在事件跟踪任务中的事件和事件块；事件参数，在事件跟踪任务中的事件参数；情绪，信念和情感任务中源实体向目标实体的情绪。,事件跟踪任务,知识抽取,object,由组成,事件,知识抽取
端到端冷启动知识库构建任务基于给定的知识库模式（KB_schema）从文本中获取以下信息：实体，在实体发现与链接任务中定义的实体和实体提及；槽关系，在槽填充中涉及的实体属性（“槽”）；事件，在事件跟踪任务中的事件和事件块；事件参数，在事件跟踪任务中的事件参数；情绪，信念和情感任务中源实体向目标实体的情绪。,事件跟踪任务,知识抽取,object,由组成,事件块,知识抽取
端到端冷启动知识库构建任务基于给定的知识库模式（KB_schema）从文本中获取以下信息：实体，在实体发现与链接任务中定义的实体和实体提及；槽关系，在槽填充中涉及的实体属性（“槽”）；事件，在事件跟踪任务中的事件和事件块；事件参数，在事件跟踪任务中的事件参数；情绪，信念和情感任务中源实体向目标实体的情绪。,事件跟踪任务,知识抽取,object,由组成,事件参数,知识抽取
端到端冷启动知识库构建任务基于给定的知识库模式（KB_schema）从文本中获取以下信息：实体，在实体发现与链接任务中定义的实体和实体提及；槽关系，在槽填充中涉及的实体属性（“槽”）；事件，在事件跟踪任务中的事件和事件块；事件参数，在事件跟踪任务中的事件参数；情绪，信念和情感任务中源实体向目标实体的情绪。,情感任务,知识抽取,data,内容,源实体向目标实体的情绪,描述
端到端冷启动知识库构建任务基于给定的知识库模式（KB_schema）从文本中获取以下信息：实体，在实体发现与链接任务中定义的实体和实体提及；槽关系，在槽填充中涉及的实体属性（“槽”）；事件，在事件跟踪任务中的事件和事件块；事件参数，在事件跟踪任务中的事件参数；情绪，信念和情感任务中源实体向目标实体的情绪。,情感任务,知识抽取,object,包含,源实体,知识抽取
端到端冷启动知识库构建任务基于给定的知识库模式（KB_schema）从文本中获取以下信息：实体，在实体发现与链接任务中定义的实体和实体提及；槽关系，在槽填充中涉及的实体属性（“槽”）；事件，在事件跟踪任务中的事件和事件块；事件参数，在事件跟踪任务中的事件参数；情绪，信念和情感任务中源实体向目标实体的情绪。,情感任务,知识抽取,object,包含,目标实体,知识抽取
端到端冷启动知识库构建任务基于给定的知识库模式（KB_schema）从文本中获取以下信息：实体，在实体发现与链接任务中定义的实体和实体提及；槽关系，在槽填充中涉及的实体属性（“槽”）；事件，在事件跟踪任务中的事件和事件块；事件参数，在事件跟踪任务中的事件参数；情绪，信念和情感任务中源实体向目标实体的情绪。,槽关系,知识抽取,object,由组成,实体属性,知识抽取
端到端冷启动知识库构建任务基于给定的知识库模式（KB_schema）从文本中获取以下信息：实体，在实体发现与链接任务中定义的实体和实体提及；槽关系，在槽填充中涉及的实体属性（“槽”）；事件，在事件跟踪任务中的事件和事件块；事件参数，在事件跟踪任务中的事件参数；情绪，信念和情感任务中源实体向目标实体的情绪。,情绪,知识抽取,object,由组成,源实体,知识抽取
端到端冷启动知识库构建任务基于给定的知识库模式（KB_schema）从文本中获取以下信息：实体，在实体发现与链接任务中定义的实体和实体提及；槽关系，在槽填充中涉及的实体属性（“槽”）；事件，在事件跟踪任务中的事件和事件块；事件参数，在事件跟踪任务中的事件参数；情绪，信念和情感任务中源实体向目标实体的情绪。,情绪,知识抽取,object,由组成,目标实体,知识抽取
早期评测比较关注词义消歧问题，后来出现了更多文本语义理解的任务，包括语义角色标注、情感分析、跨语言语义分析等。,词义消歧,知识抽取,data,内容,早期评测比较关注词义消歧问题,描述
早期评测比较关注词义消歧问题，后来出现了更多文本语义理解的任务，包括语义角色标注、情感分析、跨语言语义分析等。,语义角色标注,知识抽取,data,内容,后来出现了更多文本语义理解的任务，包括语义角色标注,描述
早期评测比较关注词义消歧问题，后来出现了更多文本语义理解的任务，包括语义角色标注、情感分析、跨语言语义分析等。,情感分析,知识抽取,data,内容,后来出现了更多文本语义理解的任务，包括情感分析,描述
早期评测比较关注词义消歧问题，后来出现了更多文本语义理解的任务，包括语义角色标注、情感分析、跨语言语义分析等。,跨语言语义分析,知识抽取,data,内容,后来出现了更多文本语义理解的任务，包括跨语言语义分析,描述
早期评测比较关注词义消歧问题，后来出现了更多文本语义理解的任务，包括语义角色标注、情感分析、跨语言语义分析等。,文本语义理解的任务,知识抽取,object,包含,语义角色标注,知识抽取
早期评测比较关注词义消歧问题，后来出现了更多文本语义理解的任务，包括语义角色标注、情感分析、跨语言语义分析等。,文本语义理解的任务,知识抽取,object,包含,情感分析,知识抽取
早期评测比较关注词义消歧问题，后来出现了更多文本语义理解的任务，包括语义角色标注、情感分析、跨语言语义分析等。,文本语义理解的任务,知识抽取,object,包含,跨语言语义分析,知识抽取
4.2面向非结构化数据的知识抽取大量的数据以非结构化数据（即自由文本）的形式存在，如新闻报道、科技文献和政府文件等，面向文本数据的知识抽取一直是广受关注的问题。,非结构化数据,知识存储,data,内容,自由文本,知识存储
4.2面向非结构化数据的知识抽取大量的数据以非结构化数据（即自由文本）的形式存在，如新闻报道、科技文献和政府文件等，面向文本数据的知识抽取一直是广受关注的问题。,知识抽取,知识抽取,data,内容,面向文本数据的知识抽取,知识抽取
在前文介绍的知识抽取领域的评测竞赛中，评测数据大多属于非结构化文本数据。,知识抽取,知识抽取,data,内容,评测数据大多属于非结构化文本数据,描述
本节将对这一类知识抽取技术和方法进行概要介绍，具体包括面向文本数据的实体抽取、关系抽取和事件抽取。,知识抽取,知识抽取,data,内容,面向文本数据的实体抽取、关系抽取和事件抽取,描述
