input	subject	subject_type	data/object	relation	object	object_type
领域知识图谱又称为行业知识图谱或垂直知识图谱，通常面向某一特定领域。	垂直知识图谱	知识图谱	data	被定义为	领域知识图谱或行业知识图谱，通常面向某一特定领域	描述
领域知识图谱基于行业数据构建，通常有着严格而丰富的数据模式，对该领域知识的深度、准确性有着更高的要求。	领域知识图谱	知识图谱	data	内容	基于行业数据构建，通常有着严格而丰富的数据模式，对该领域知识的深度、准确性有着更高的要求	描述
本章重点介绍领域知识图谱的构建方法及系列应用案例。	领域知识图谱	知识图谱	data	内容	构建方法及系列应用案例	描述
本章重点介绍领域知识图谱的构建方法及系列应用案例。	构建方法	知识表示	data	内容	领域知识图谱的构建方法	描述
本章重点介绍领域知识图谱的构建方法及系列应用案例。	应用案例	知识图谱项目	data	内容	领域知识图谱的应用案例	描述
9.1领域知识图谱构建的技术流程由于现实世界的知识丰富多样且极其庞杂，通用知识图谱主要强调知识的广度，通常运用百科数据进行自底向上的方法进行构建。	通用知识图谱	知识图谱	data	内容	主要强调知识的广度，通常运用百科数据进行自底向上的方法进行构建	描述
9.1领域知识图谱构建的技术流程由于现实世界的知识丰富多样且极其庞杂，通用知识图谱主要强调知识的广度，通常运用百科数据进行自底向上的方法进行构建。	通用知识图谱	知识图谱	data	方法	百科数据进行自底向上的方法	知识表示
而领域知识图谱面向不同的领域，其数据模式不同，应用需求也各不相同，因此没有一套通用的标准和规范来指导构建，而需要基于特定行业通过工程师与业务专家的不断交互与定制来实现。	领域知识图谱	知识图谱	data	内容	面向不同的领域，其数据模式不同，应用需求也各不相同，因此没有一套通用的标准和规范来指导构建，而需要基于特定行业通过工程师与业务专家的不断交互与定制来实现	描述
而领域知识图谱面向不同的领域，其数据模式不同，应用需求也各不相同，因此没有一套通用的标准和规范来指导构建，而需要基于特定行业通过工程师与业务专家的不断交互与定制来实现。	数据模式	知识表示	data	内容	不同	描述
而领域知识图谱面向不同的领域，其数据模式不同，应用需求也各不相同，因此没有一套通用的标准和规范来指导构建，而需要基于特定行业通过工程师与业务专家的不断交互与定制来实现。	应用需求	知识图谱项目	data	内容	各不相同	描述
虽然如此，领域知识图谱与通用知识图谱的构建与应用也并非完全没有互通之处，如图9-1所示，其从无到有的构建过程可分为六个阶段，被称为领域知识图谱的生命周期[1]。	领域知识图谱的生命周期	知识图谱	data	内容	从无到有的构建过程可分为六个阶段	描述
本节以生命周期为视角来阐述领域知识图谱构建过程中的关键技术流程。	领域知识图谱	知识图谱	data	内容	关键技术流程	知识图谱项目
图9-1领域知识图谱生命周期9.1.1领域知识建模知识建模是建立知识图谱的概念模式的过程，相当于关系数据库的表结构定义。	知识建模	知识表示	data	被定义为	建立知识图谱的概念模式的过程	知识表示
图9-1领域知识图谱生命周期9.1.1领域知识建模知识建模是建立知识图谱的概念模式的过程，相当于关系数据库的表结构定义。	知识建模	知识表示	object	等价	知识图谱的概念模式	知识表示
图9-1领域知识图谱生命周期9.1.1领域知识建模知识建模是建立知识图谱的概念模式的过程，相当于关系数据库的表结构定义。	知识图谱的概念模式	知识表示	data	被定义为	相当于关系数据库的表结构定义	知识存储
为了对知识进行合理的组织，更好地描述知识本身与知识之间的关联，需要对知识图谱的模式进行良好的定义。	知识图谱的模式	知识表示	data	内容	良好的定义	描述
为了对知识进行合理的组织，更好地描述知识本身与知识之间的关联，需要对知识图谱的模式进行良好的定义。	知识图谱的模式	知识表示	data	作用	对知识进行合理的组织，更好地描述知识本身与知识之间的关联	功能描述
知识建模通常采用两种方式：一种是自顶向下（Top-Down）的方法，即首先为知识图谱定义数据模式，数据模式从最顶层概念构建，逐步向下细化，形成结构良好的分类学层次，然后再将实体添加到概念中。	知识建模	知识表示	data	方法	自顶向下（Top-Down）的方法，即首先为知识图谱定义数据模式，数据模式从最顶层概念构建，逐步向下细化，形成结构良好的分类学层次，然后再将实体添加到概念中	方法描述
知识建模通常采用两种方式：一种是自顶向下（Top-Down）的方法，即首先为知识图谱定义数据模式，数据模式从最顶层概念构建，逐步向下细化，形成结构良好的分类学层次，然后再将实体添加到概念中。	知识建模	知识表示	object	包含	数据模式	知识表示
知识建模通常采用两种方式：一种是自顶向下（Top-Down）的方法，即首先为知识图谱定义数据模式，数据模式从最顶层概念构建，逐步向下细化，形成结构良好的分类学层次，然后再将实体添加到概念中。	自顶向下（Top-Down）的方法	知识表示	data	内容	首先为知识图谱定义数据模式，数据模式从最顶层概念构建，逐步向下细化，形成结构良好的分类学层次，然后再将实体添加到概念中。	描述
知识建模通常采用两种方式：一种是自顶向下（Top-Down）的方法，即首先为知识图谱定义数据模式，数据模式从最顶层概念构建，逐步向下细化，形成结构良好的分类学层次，然后再将实体添加到概念中。	数据模式	知识表示	object	包含	分类学层次	知识表示
知识建模通常采用两种方式：一种是自顶向下（Top-Down）的方法，即首先为知识图谱定义数据模式，数据模式从最顶层概念构建，逐步向下细化，形成结构良好的分类学层次，然后再将实体添加到概念中。	数据模式	知识表示	object	实例	知识图谱	知识图谱
另一种则是自底向上（Bottom-Up）的方法，即首先对实体进行归纳组织，形成底层概念，然后逐步往上抽象，形成上层概念。	自底向上	知识表示	data	方法	首先对实体进行归纳组织，形成底层概念，然后逐步往上抽象，形成上层概念	描述
另一种则是自底向上（Bottom-Up）的方法，即首先对实体进行归纳组织，形成底层概念，然后逐步往上抽象，形成上层概念。	自底向上	知识表示	object	包含	实体	知识表示
另一种则是自底向上（Bottom-Up）的方法，即首先对实体进行归纳组织，形成底层概念，然后逐步往上抽象，形成上层概念。	自底向上	知识表示	object	包含	底层概念	知识表示
另一种则是自底向上（Bottom-Up）的方法，即首先对实体进行归纳组织，形成底层概念，然后逐步往上抽象，形成上层概念。	自底向上	知识表示	object	包含	上层概念	知识表示
为了保证知识图谱质量，通常在建模时需要考虑以下几个关键问题：1）概念划分的合理性，如何描述知识体系及知识点之间的关联关系[1]；2）属性定义方式，如何在冗余程度最低的条件下满足应用和可视化展现；3）事件、时序等复杂知识表示，通过匿名节点的方法还是边属性的方法来进行描述，各自的优缺点是什么[2]；4）后续的知识扩展难度，能否支持概念体系的变更以及属性的调整。	概念划分	知识表示	data	内容	如何描述知识体系及知识点之间的关联关系	描述
为了保证知识图谱质量，通常在建模时需要考虑以下几个关键问题：1）概念划分的合理性，如何描述知识体系及知识点之间的关联关系[1]；2）属性定义方式，如何在冗余程度最低的条件下满足应用和可视化展现；3）事件、时序等复杂知识表示，通过匿名节点的方法还是边属性的方法来进行描述，各自的优缺点是什么[2]；4）后续的知识扩展难度，能否支持概念体系的变更以及属性的调整。	属性定义方式	知识表示	data	内容	如何在冗余程度最低的条件下满足应用和可视化展现	描述
为了保证知识图谱质量，通常在建模时需要考虑以下几个关键问题：1）概念划分的合理性，如何描述知识体系及知识点之间的关联关系[1]；2）属性定义方式，如何在冗余程度最低的条件下满足应用和可视化展现；3）事件、时序等复杂知识表示，通过匿名节点的方法还是边属性的方法来进行描述，各自的优缺点是什么[2]；4）后续的知识扩展难度，能否支持概念体系的变更以及属性的调整。	复杂知识表示	知识表示	data	方法	通过匿名节点的方法还是边属性的方法来进行描述	方法描述
为了保证知识图谱质量，通常在建模时需要考虑以下几个关键问题：1）概念划分的合理性，如何描述知识体系及知识点之间的关联关系[1]；2）属性定义方式，如何在冗余程度最低的条件下满足应用和可视化展现；3）事件、时序等复杂知识表示，通过匿名节点的方法还是边属性的方法来进行描述，各自的优缺点是什么[2]；4）后续的知识扩展难度，能否支持概念体系的变更以及属性的调整。	知识扩展难度	知识融合	data	内容	能否支持概念体系的变更以及属性的调整	描述
为了保证知识图谱质量，通常在建模时需要考虑以下几个关键问题：1）概念划分的合理性，如何描述知识体系及知识点之间的关联关系[1]；2）属性定义方式，如何在冗余程度最低的条件下满足应用和可视化展现；3）事件、时序等复杂知识表示，通过匿名节点的方法还是边属性的方法来进行描述，各自的优缺点是什么[2]；4）后续的知识扩展难度，能否支持概念体系的变更以及属性的调整。	匿名节点的方法	知识表示	data	缺点	各自的优缺点是什么	描述
为了保证知识图谱质量，通常在建模时需要考虑以下几个关键问题：1）概念划分的合理性，如何描述知识体系及知识点之间的关联关系[1]；2）属性定义方式，如何在冗余程度最低的条件下满足应用和可视化展现；3）事件、时序等复杂知识表示，通过匿名节点的方法还是边属性的方法来进行描述，各自的优缺点是什么[2]；4）后续的知识扩展难度，能否支持概念体系的变更以及属性的调整。	边属性的方法	知识表示	data	缺点	各自的优缺点是什么	描述
9.1.2知识存储知识存储，顾名思义为针对构建完成的知识图谱设计底层存储方式，完成各类知识的存储，包括基本属性知识、关联知识、事件知识、时序知识、资源类知识等。	知识存储	知识存储	data	内容	基本属性知识、关联知识、事件知识、时序知识、资源类知识	知识表示
目前，主流的知识存储解决方案包括单一式存储和混合式存储两种。	单一式存储	知识存储	data	内容	主流的知识存储解决方案之一	描述
目前，主流的知识存储解决方案包括单一式存储和混合式存储两种。	混合式存储	知识存储	data	内容	主流的知识存储解决方案之一	描述
目前，主流的知识存储解决方案包括单一式存储和混合式存储两种。	主流的知识存储解决方案	知识存储	object	包含	单一式存储	知识存储
目前，主流的知识存储解决方案包括单一式存储和混合式存储两种。	主流的知识存储解决方案	知识存储	object	包含	混合式存储	知识存储
在单一式存储中，可以通过三元组、属性表或者垂直分割等方式进行知识的存储[3]。	单一式存储	知识存储	data	方法	三元组、属性表或者垂直分割等方式	知识存储方法
其中，三元组的存储方式较为直观，但在进行连接查询时开销巨大[4]。	三元组	知识表示	data	缺点	在进行连接查询时开销巨大	描述
属性表指基于主语的类型划分数据表，其缺点是不利于缺失属性的查询[5]。	属性表	属性文本	data	内容	基于主语的类型划分数据表，其缺点是不利于缺失属性的查询	描述
属性表指基于主语的类型划分数据表，其缺点是不利于缺失属性的查询[5]。	属性表	属性文本	data	缺点	不利于缺失属性的查询	描述
对于知识存储介质的选择，可以分为原生（Neo4j、AllegroGraph等）和基于现有数据库（MySQL、Mongo等）两类。	知识存储	知识存储	object	包含	原生	知识存储
对于知识存储介质的选择，可以分为原生（Neo4j、AllegroGraph等）和基于现有数据库（MySQL、Mongo等）两类。	知识存储	知识存储	object	包含	基于现有数据库	知识存储
对于知识存储介质的选择，可以分为原生（Neo4j、AllegroGraph等）和基于现有数据库（MySQL、Mongo等）两类。	原生	知识存储	object	包含	Neo4j	知识存储
对于知识存储介质的选择，可以分为原生（Neo4j、AllegroGraph等）和基于现有数据库（MySQL、Mongo等）两类。	原生	知识存储	object	包含	AllegroGraph	知识存储
对于知识存储介质的选择，可以分为原生（Neo4j、AllegroGraph等）和基于现有数据库（MySQL、Mongo等）两类。	基于现有数据库	知识存储	object	包含	MySQL	知识存储
对于知识存储介质的选择，可以分为原生（Neo4j、AllegroGraph等）和基于现有数据库（MySQL、Mongo等）两类。	基于现有数据库	知识存储	object	包含	Mongo	知识存储
对于知识存储介质的选择，可以分为原生（Neo4j、AllegroGraph等）和基于现有数据库（MySQL、Mongo等）两类。	Neo4j	知识存储	object	实例	原生	知识存储
对于知识存储介质的选择，可以分为原生（Neo4j、AllegroGraph等）和基于现有数据库（MySQL、Mongo等）两类。	AllegroGraph	知识存储	object	实例	原生	知识存储
对于知识存储介质的选择，可以分为原生（Neo4j、AllegroGraph等）和基于现有数据库（MySQL、Mongo等）两类。	MySQL	知识存储	object	实例	基于现有数据库	知识存储
对于知识存储介质的选择，可以分为原生（Neo4j、AllegroGraph等）和基于现有数据库（MySQL、Mongo等）两类。	Mongo	知识存储	object	实例	基于现有数据库	知识存储
原生存储的优点是其本身已经提供了较为完善的图查询语言或算法的支持，但不支持定制，灵活程度不高，对于复杂节点等极端数据情况的表现非常差。	原生存储	知识存储	data	特点	其本身已经提供了较为完善的图查询语言或算法的支持	描述
原生存储的优点是其本身已经提供了较为完善的图查询语言或算法的支持，但不支持定制，灵活程度不高，对于复杂节点等极端数据情况的表现非常差。	原生存储	知识存储	data	缺点	不支持定制，灵活程度不高，对于复杂节点等极端数据情况的表现非常差	描述
9.1.3知识抽取知识抽取是指从不同来源、不同数据中进行知识提取，形成知识并存入知识图谱的过程。	知识抽取	知识抽取	data	被定义为	从不同来源、不同数据中进行知识提取，形成知识并存入知识图谱的过程	描述
由于真实世界中的数据类型及介质多种多样，所以如何高效、稳定地从不同的数据源进行数据接入至关重要，其会直接影响到知识图谱中数据的规模、实时性及有效性。	数据接入	知识抽取	data	作用	高效、稳定地从不同的数据源进行数据接入，其会直接影响到知识图谱中数据的规模、实时性及有效性	描述
在现有的数据源中，数据大致可分为三类：一类是结构化的数据，这类数据包括以关系数据库（MySQL、Oracle等）为介质的关系型数据，以及开放链接数据，如Yago、Freebase等；第二类为半结构化数据，如百科数据（Wikipedia、百度百科等），或是垂直网站中的数据，如IMDB、丁香园等；第三类是以文本为代表的非结构化数据。	关系数据库	知识存储	data	内容	以关系数据库（MySQL、Oracle等）为介质的关系型数据	知识存储
在现有的数据源中，数据大致可分为三类：一类是结构化的数据，这类数据包括以关系数据库（MySQL、Oracle等）为介质的关系型数据，以及开放链接数据，如Yago、Freebase等；第二类为半结构化数据，如百科数据（Wikipedia、百度百科等），或是垂直网站中的数据，如IMDB、丁香园等；第三类是以文本为代表的非结构化数据。	开放链接数据	链接	data	内容	Yago、Freebase等	知识图谱项目
在现有的数据源中，数据大致可分为三类：一类是结构化的数据，这类数据包括以关系数据库（MySQL、Oracle等）为介质的关系型数据，以及开放链接数据，如Yago、Freebase等；第二类为半结构化数据，如百科数据（Wikipedia、百度百科等），或是垂直网站中的数据，如IMDB、丁香园等；第三类是以文本为代表的非结构化数据。	开放链接数据	链接	data	链接	Yago	知识图谱项目
在现有的数据源中，数据大致可分为三类：一类是结构化的数据，这类数据包括以关系数据库（MySQL、Oracle等）为介质的关系型数据，以及开放链接数据，如Yago、Freebase等；第二类为半结构化数据，如百科数据（Wikipedia、百度百科等），或是垂直网站中的数据，如IMDB、丁香园等；第三类是以文本为代表的非结构化数据。	开放链接数据	链接	data	链接	Freebase	知识图谱项目
在现有的数据源中，数据大致可分为三类：一类是结构化的数据，这类数据包括以关系数据库（MySQL、Oracle等）为介质的关系型数据，以及开放链接数据，如Yago、Freebase等；第二类为半结构化数据，如百科数据（Wikipedia、百度百科等），或是垂直网站中的数据，如IMDB、丁香园等；第三类是以文本为代表的非结构化数据。	半结构化数据	知识存储	data	内容	百科数据（Wikipedia、百度百科等），或是垂直网站中的数据，如IMDB、丁香园等	知识抽取
在现有的数据源中，数据大致可分为三类：一类是结构化的数据，这类数据包括以关系数据库（MySQL、Oracle等）为介质的关系型数据，以及开放链接数据，如Yago、Freebase等；第二类为半结构化数据，如百科数据（Wikipedia、百度百科等），或是垂直网站中的数据，如IMDB、丁香园等；第三类是以文本为代表的非结构化数据。	百科数据	知识抽取	data	内容	Wikipedia、百度百科等	知识图谱项目
在现有的数据源中，数据大致可分为三类：一类是结构化的数据，这类数据包括以关系数据库（MySQL、Oracle等）为介质的关系型数据，以及开放链接数据，如Yago、Freebase等；第二类为半结构化数据，如百科数据（Wikipedia、百度百科等），或是垂直网站中的数据，如IMDB、丁香园等；第三类是以文本为代表的非结构化数据。	非结构化数据	知识存储	data	内容	以文本为代表的非结构化数据	知识存储
在现有的数据源中，数据大致可分为三类：一类是结构化的数据，这类数据包括以关系数据库（MySQL、Oracle等）为介质的关系型数据，以及开放链接数据，如Yago、Freebase等；第二类为半结构化数据，如百科数据（Wikipedia、百度百科等），或是垂直网站中的数据，如IMDB、丁香园等；第三类是以文本为代表的非结构化数据。	结构化的数据	知识存储	object	包含	关系型数据	知识存储
在现有的数据源中，数据大致可分为三类：一类是结构化的数据，这类数据包括以关系数据库（MySQL、Oracle等）为介质的关系型数据，以及开放链接数据，如Yago、Freebase等；第二类为半结构化数据，如百科数据（Wikipedia、百度百科等），或是垂直网站中的数据，如IMDB、丁香园等；第三类是以文本为代表的非结构化数据。	结构化的数据	知识存储	object	包含	开放链接数据	链接
在现有的数据源中，数据大致可分为三类：一类是结构化的数据，这类数据包括以关系数据库（MySQL、Oracle等）为介质的关系型数据，以及开放链接数据，如Yago、Freebase等；第二类为半结构化数据，如百科数据（Wikipedia、百度百科等），或是垂直网站中的数据，如IMDB、丁香园等；第三类是以文本为代表的非结构化数据。	Yago	知识图谱项目	object	实例	开放链接数据	链接
在现有的数据源中，数据大致可分为三类：一类是结构化的数据，这类数据包括以关系数据库（MySQL、Oracle等）为介质的关系型数据，以及开放链接数据，如Yago、Freebase等；第二类为半结构化数据，如百科数据（Wikipedia、百度百科等），或是垂直网站中的数据，如IMDB、丁香园等；第三类是以文本为代表的非结构化数据。	Freebase	知识图谱项目	object	实例	开放链接数据	链接
在现有的数据源中，数据大致可分为三类：一类是结构化的数据，这类数据包括以关系数据库（MySQL、Oracle等）为介质的关系型数据，以及开放链接数据，如Yago、Freebase等；第二类为半结构化数据，如百科数据（Wikipedia、百度百科等），或是垂直网站中的数据，如IMDB、丁香园等；第三类是以文本为代表的非结构化数据。	Wikipedia	知识图谱项目	object	实例	百科数据	知识抽取
在现有的数据源中，数据大致可分为三类：一类是结构化的数据，这类数据包括以关系数据库（MySQL、Oracle等）为介质的关系型数据，以及开放链接数据，如Yago、Freebase等；第二类为半结构化数据，如百科数据（Wikipedia、百度百科等），或是垂直网站中的数据，如IMDB、丁香园等；第三类是以文本为代表的非结构化数据。	百度百科	知识图谱项目	object	实例	百科数据	知识抽取
结构化数据中会存在一些复杂关系，针对这类关系的抽取是此类研究的重点，主要方法包括直接映射或者映射规则定义等；半结构化数据通常采用包装器的方式对网站进行解析，包装器是一个针对目标数据源中的数据制定了抽取规则的计算机程序。	复杂关系	知识抽取	data	方法	直接映射或者映射规则定义	描述
结构化数据中会存在一些复杂关系，针对这类关系的抽取是此类研究的重点，主要方法包括直接映射或者映射规则定义等；半结构化数据通常采用包装器的方式对网站进行解析，包装器是一个针对目标数据源中的数据制定了抽取规则的计算机程序。	复杂关系	知识抽取	object	包含	直接映射	知识抽取
结构化数据中会存在一些复杂关系，针对这类关系的抽取是此类研究的重点，主要方法包括直接映射或者映射规则定义等；半结构化数据通常采用包装器的方式对网站进行解析，包装器是一个针对目标数据源中的数据制定了抽取规则的计算机程序。	复杂关系	知识抽取	object	包含	映射规则定义	知识抽取
结构化数据中会存在一些复杂关系，针对这类关系的抽取是此类研究的重点，主要方法包括直接映射或者映射规则定义等；半结构化数据通常采用包装器的方式对网站进行解析，包装器是一个针对目标数据源中的数据制定了抽取规则的计算机程序。	半结构化数据	知识抽取	data	内容	通常采用包装器的方式对网站进行解析，包装器是一个针对目标数据源中的数据制定了抽取规则的计算机程序	描述
结构化数据中会存在一些复杂关系，针对这类关系的抽取是此类研究的重点，主要方法包括直接映射或者映射规则定义等；半结构化数据通常采用包装器的方式对网站进行解析，包装器是一个针对目标数据源中的数据制定了抽取规则的计算机程序。	半结构化数据	知识抽取	object	包含	包装器	知识抽取
结构化数据中会存在一些复杂关系，针对这类关系的抽取是此类研究的重点，主要方法包括直接映射或者映射规则定义等；半结构化数据通常采用包装器的方式对网站进行解析，包装器是一个针对目标数据源中的数据制定了抽取规则的计算机程序。	包装器	知识抽取	data	方法	针对目标数据源中的数据制定了抽取规则的计算机程序	描述
包装器的定义、自动生成以及如何对包装器进行更新及维护以应对网站的变更，是当前获取需要考虑的问题；非结构化数据抽取难度最大，如何保证抽取的准确率和覆盖率是这类数据进行知识获取需要考虑的科学问题。	包装器	知识抽取	data	内容	定义、自动生成以及如何对包装器进行更新及维护以应对网站的变更	描述
包装器的定义、自动生成以及如何对包装器进行更新及维护以应对网站的变更，是当前获取需要考虑的问题；非结构化数据抽取难度最大，如何保证抽取的准确率和覆盖率是这类数据进行知识获取需要考虑的科学问题。	包装器	知识抽取	data	缺点	需要更新及维护以应对网站的变更	描述
包装器的定义、自动生成以及如何对包装器进行更新及维护以应对网站的变更，是当前获取需要考虑的问题；非结构化数据抽取难度最大，如何保证抽取的准确率和覆盖率是这类数据进行知识获取需要考虑的科学问题。	非结构化数据抽取	知识抽取	data	缺点	抽取难度最大，如何保证抽取的准确率和覆盖率是这类数据进行知识获取需要考虑的科学问题	描述
包装器的定义、自动生成以及如何对包装器进行更新及维护以应对网站的变更，是当前获取需要考虑的问题；非结构化数据抽取难度最大，如何保证抽取的准确率和覆盖率是这类数据进行知识获取需要考虑的科学问题。	知识获取	知识抽取	data	内容	非结构化数据抽取难度最大，如何保证抽取的准确率和覆盖率是这类数据进行知识获取需要考虑的科学问题	描述
9.1.4知识融合知识融合指将不同来源的知识进行对齐、合并的工作，形成全局统一的知识标识和关联。	知识融合	知识融合	data	被定义为	将不同来源的知识进行对齐、合并的工作，形成全局统一的知识标识和关联	描述
知识融合是知识图谱构建中不可缺少的一环，知识融合体现了开放链接数据中互联的思想。	知识融合	知识融合	data	内容	知识图谱构建中不可缺少的一环	描述
知识融合是知识图谱构建中不可缺少的一环，知识融合体现了开放链接数据中互联的思想。	知识融合	知识融合	data	特点	体现了开放链接数据中互联的思想	描述
良好的融合方法能有效地避免信息孤岛，使得知识的连接更加稠密，提升知识应用价值，因此知识融合是构建知识图谱过程中的核心工作与重点研究方向。	知识融合	知识融合	data	内容	构建知识图谱过程中的核心工作与重点研究方向	描述
良好的融合方法能有效地避免信息孤岛，使得知识的连接更加稠密，提升知识应用价值，因此知识融合是构建知识图谱过程中的核心工作与重点研究方向。	知识融合	知识融合	data	作用	有效地避免信息孤岛，使得知识的连接更加稠密，提升知识应用价值	描述
知识图谱中的知识融合包含两个方面，即数据模式层的融合和数据层的融合。	知识融合	知识融合	data	内容	数据模式层的融合和数据层的融合	知识表示
知识图谱中的知识融合包含两个方面，即数据模式层的融合和数据层的融合。	知识融合	知识融合	object	包含	数据模式层	知识表示
知识图谱中的知识融合包含两个方面，即数据模式层的融合和数据层的融合。	知识融合	知识融合	object	包含	数据层	知识表示
数据模式层的融合包含概念合并、概念上下位关系合并以及概念的属性定义合并，通常依靠专家人工构建或从可靠的结构化数据中映射生成。	数据模式层	知识表示	data	内容	概念合并、概念上下位关系合并以及概念的属性定义合并	知识融合
数据模式层的融合包含概念合并、概念上下位关系合并以及概念的属性定义合并，通常依靠专家人工构建或从可靠的结构化数据中映射生成。	数据模式层的融合	知识表示	data	方法	专家人工构建或从可靠的结构化数据中映射生成	方法描述
数据模式层的融合包含概念合并、概念上下位关系合并以及概念的属性定义合并，通常依靠专家人工构建或从可靠的结构化数据中映射生成。	概念合并	知识融合	data	方法	专家人工构建或从可靠的结构化数据中映射生成	方法描述
数据模式层的融合包含概念合并、概念上下位关系合并以及概念的属性定义合并，通常依靠专家人工构建或从可靠的结构化数据中映射生成。	概念上下位关系合并	知识融合	data	方法	专家人工构建或从可靠的结构化数据中映射生成	方法描述
数据模式层的融合包含概念合并、概念上下位关系合并以及概念的属性定义合并，通常依靠专家人工构建或从可靠的结构化数据中映射生成。	概念的属性定义合并	知识融合	data	方法	专家人工构建或从可靠的结构化数据中映射生成	方法描述
在映射的过程中，一般会通过设置融合规则确保数据的统一。	映射	知识融合	data	方法	设置融合规则	方法
在映射的过程中，一般会通过设置融合规则确保数据的统一。	融合规则	知识融合	data	内容	确保数据的统一	描述
数据层的融合包括实体合并、实体属性融合以及冲突检测与解决。	实体合并	知识融合	data	内容	数据层的融合包括实体合并	描述
数据层的融合包括实体合并、实体属性融合以及冲突检测与解决。	实体属性融合	知识融合	data	内容	数据层的融合包括实体属性融合	描述
数据层的融合包括实体合并、实体属性融合以及冲突检测与解决。	冲突检测与解决	知识融合	data	内容	数据层的融合包括冲突检测与解决	描述
数据层的融合包括实体合并、实体属性融合以及冲突检测与解决。	数据层的融合	知识融合	object	包含	实体合并	知识融合
数据层的融合包括实体合并、实体属性融合以及冲突检测与解决。	数据层的融合	知识融合	object	包含	实体属性融合	知识融合
数据层的融合包括实体合并、实体属性融合以及冲突检测与解决。	数据层的融合	知识融合	object	包含	冲突检测与解决	知识融合
进行知识融合时需要考虑使用什么方式实现不同来源、不同形态知识的融合；如何对海量知识进行高效融合[7]；如何对新增知识进行实时融合以及如何进行多语言融合等问题[8]。	知识融合	知识融合	data	内容	使用什么方式实现不同来源、不同形态知识的融合；如何对海量知识进行高效融合；如何对新增知识进行实时融合以及如何进行多语言融合等问题	描述
进行知识融合时需要考虑使用什么方式实现不同来源、不同形态知识的融合；如何对海量知识进行高效融合[7]；如何对新增知识进行实时融合以及如何进行多语言融合等问题[8]。	海量知识	知识存储	data	内容	如何对海量知识进行高效融合	描述
进行知识融合时需要考虑使用什么方式实现不同来源、不同形态知识的融合；如何对海量知识进行高效融合[7]；如何对新增知识进行实时融合以及如何进行多语言融合等问题[8]。	多语言融合	知识融合	data	内容	如何进行多语言融合	描述
9.1.5知识计算知识计算是领域知识图谱能力输出的主要方式，通过知识图谱本身能力为传统的应用形态赋能，提升服务质量和效率。	知识计算	知识推理	data	作用	领域知识图谱能力输出的主要方式，通过知识图谱本身能力为传统的应用形态赋能，提升服务质量和效率	描述
其中，图挖掘计算和知识推理是最具代表性的两种能力，如何将这两种能力与传统应用相结合是需要解决的一个关键问题。	图挖掘计算	知识推理	data	内容	最具代表性的两种能力之一	描述
其中，图挖掘计算和知识推理是最具代表性的两种能力，如何将这两种能力与传统应用相结合是需要解决的一个关键问题。	知识推理	知识推理	data	内容	最具代表性的两种能力之一	描述
